start;end;Nb_of_distinct_IPs;Nb_of_downloads;package
2014-10-01;2014-10-31;65;79;BridgeDbR
2014-11-01;2014-11-30;164;217;BridgeDbR
2014-12-01;2014-12-31;129;151;BridgeDbR
2015-01-01;2015-01-31;153;275;BridgeDbR
2015-02-01;2015-02-28;124;232;BridgeDbR
2015-03-01;2015-03-31;166;218;BridgeDbR
2015-04-01;2015-04-30;139;193;BridgeDbR
2015-05-01;2015-05-31;120;173;BridgeDbR
2015-06-01;2015-06-30;112;181;BridgeDbR
2015-07-01;2015-07-31;109;150;BridgeDbR
2015-08-01;2015-08-31;116;162;BridgeDbR
2015-09-01;2015-09-30;98;167;BridgeDbR
2015-10-01;2015-10-31;114;172;BridgeDbR
2015-11-01;2015-11-30;107;158;BridgeDbR
2015-12-01;2015-12-31;113;171;BridgeDbR
2016-01-01;2016-01-31;103;150;BridgeDbR
2016-02-01;2016-02-29;104;186;BridgeDbR
2016-03-01;2016-03-31;125;224;BridgeDbR
2016-04-01;2016-04-30;171;261;BridgeDbR
2016-05-01;2016-05-31;121;163;BridgeDbR
2016-06-01;2016-06-30;127;198;BridgeDbR
2016-07-01;2016-07-31;109;146;BridgeDbR
2016-08-01;2016-08-31;102;134;BridgeDbR
2016-09-01;2016-09-30;96;115;BridgeDbR
2016-10-01;2016-10-31;129;173;BridgeDbR
2016-11-01;2016-11-30;117;158;BridgeDbR
2016-12-01;2016-12-31;131;177;BridgeDbR
2017-01-01;2017-01-31;80;102;BridgeDbR
2017-02-01;2017-02-28;119;169;BridgeDbR
2017-03-01;2017-03-31;124;229;BridgeDbR
2017-04-01;2017-04-30;157;225;BridgeDbR
2017-05-01;2017-05-31;133;265;BridgeDbR
2017-06-01;2017-06-30;143;231;BridgeDbR
2017-07-01;2017-07-31;108;148;BridgeDbR
2017-08-01;2017-08-31;103;172;BridgeDbR
2017-09-01;2017-09-30;120;168;BridgeDbR
2017-10-01;2017-10-31;113;171;BridgeDbR
2017-11-01;2017-11-30;123;206;BridgeDbR
2017-12-01;2017-12-31;77;106;BridgeDbR
2018-01-01;2018-01-31;105;184;BridgeDbR
2018-02-01;2018-02-28;103;134;BridgeDbR
2018-03-01;2018-03-31;113;175;BridgeDbR
2018-04-01;2018-04-30;152;261;BridgeDbR
2018-05-01;2018-05-31;109;181;BridgeDbR
2018-06-01;2018-06-30;140;205;BridgeDbR
2018-07-01;2018-07-31;99;134;BridgeDbR
2018-08-01;2018-08-31;78;118;BridgeDbR
2018-09-01;2018-09-30;90;141;BridgeDbR
2018-10-01;2018-10-31;85;136;BridgeDbR
2018-11-01;2018-11-30;106;182;BridgeDbR
2018-12-01;2018-12-31;87;121;BridgeDbR
2019-01-01;2019-01-31;125;182;BridgeDbR
2019-02-01;2019-02-28;82;137;BridgeDbR
2019-03-01;2019-03-31;99;157;BridgeDbR
2019-04-01;2019-04-30;126;205;BridgeDbR
2019-05-01;2019-05-31;113;214;BridgeDbR
2019-06-01;2019-06-30;89;151;BridgeDbR
2019-07-01;2019-07-31;94;159;BridgeDbR
2019-08-01;2019-08-31;70;100;BridgeDbR
2019-09-01;2019-09-30;45;65;BridgeDbR
2019-10-01;2019-10-31;59;114;BridgeDbR
2019-11-01;2019-11-30;75;122;BridgeDbR
2019-12-01;2019-12-31;43;81;BridgeDbR
2020-01-01;2020-01-31;55;88;BridgeDbR
2020-02-01;2020-02-29;62;234;BridgeDbR
2020-03-01;2020-03-31;69;158;BridgeDbR
2020-04-01;2020-04-30;60;116;BridgeDbR
2020-05-01;2020-05-31;69;129;BridgeDbR
2020-06-01;2020-06-30;61;186;BridgeDbR
2020-07-01;2020-07-31;66;168;BridgeDbR
2020-08-01;2020-08-31;64;179;BridgeDbR
2020-09-01;2020-09-30;58;222;BridgeDbR
2020-10-01;2020-10-31;84;184;BridgeDbR
2020-11-01;2020-11-30;53;142;BridgeDbR
2020-12-01;2020-12-31;59;118;BridgeDbR
2021-01-01;2021-01-31;59;130;BridgeDbR
2021-02-01;2021-02-28;74;205;BridgeDbR
2021-03-01;2021-03-31;96;170;BridgeDbR
2021-04-01;2021-04-30;101;177;BridgeDbR
2021-05-01;2021-05-31;87;167;BridgeDbR
2021-06-01;2021-06-30;75;126;BridgeDbR
2021-07-01;2021-07-31;63;120;BridgeDbR
2021-08-01;2021-08-31;60;109;BridgeDbR
2021-09-01;2021-09-30;93;167;BridgeDbR
2021-10-01;2021-10-31;80;142;BridgeDbR
2021-11-01;2021-11-30;70;109;BridgeDbR
2021-12-01;2021-12-31;59;104;BridgeDbR
2022-01-01;2022-01-31;66;110;BridgeDbR
2022-02-01;2022-02-28;48;85;BridgeDbR
2022-03-01;2022-03-31;75;136;BridgeDbR
2022-04-01;2022-04-30;53;83;BridgeDbR
2022-05-01;2022-05-31;74;103;BridgeDbR
2022-06-01;2022-06-30;42;60;BridgeDbR
2022-07-01;2022-07-31;64;119;BridgeDbR
2022-08-01;2022-08-31;28;40;BridgeDbR
2022-09-01;2022-09-30;52;113;BridgeDbR
2022-10-01;2022-10-31;43;72;BridgeDbR
2022-11-01;2022-11-30;64;100;BridgeDbR
2022-12-01;2022-12-31;41;70;BridgeDbR
2023-01-01;2023-01-31;59;88;BridgeDbR
2023-02-01;2023-02-28;56;102;BridgeDbR
2023-03-01;2023-03-31;113;148;BridgeDbR
2023-04-01;2023-04-30;149;202;BridgeDbR
2023-05-01;2023-05-31;89;124;BridgeDbR
2023-06-01;2023-06-30;60;93;BridgeDbR
2023-07-01;2023-07-31;52;93;BridgeDbR
2023-08-01;2023-08-31;71;129;BridgeDbR
2023-09-01;2023-09-30;89;142;BridgeDbR
2023-10-01;2023-10-31;76;163;BridgeDbR
2023-11-01;2023-11-30;73;115;BridgeDbR
2023-12-01;2023-12-31;49;112;BridgeDbR
2024-01-01;2024-01-31;54;239;BridgeDbR
2024-02-01;2024-02-29;82;108;BridgeDbR
2024-03-01;2024-03-31;87;133;BridgeDbR
2024-04-01;2024-04-30;132;414;BridgeDbR
2024-05-01;2024-05-31;115;421;BridgeDbR
2024-06-01;2024-06-26;69;590;BridgeDbR
2016-04-01;2016-04-30;8;12;CHRONOS
2016-05-01;2016-05-31;73;99;CHRONOS
2016-06-01;2016-06-30;88;128;CHRONOS
2016-07-01;2016-07-31;80;111;CHRONOS
2016-08-01;2016-08-31;64;74;CHRONOS
2016-09-01;2016-09-30;68;81;CHRONOS
2016-10-01;2016-10-31;86;116;CHRONOS
2016-11-01;2016-11-30;82;117;CHRONOS
2016-12-01;2016-12-31;110;146;CHRONOS
2017-01-01;2017-01-31;64;78;CHRONOS
2017-02-01;2017-02-28;103;149;CHRONOS
2017-03-01;2017-03-31;84;161;CHRONOS
2017-04-01;2017-04-30;153;233;CHRONOS
2017-05-01;2017-05-31;103;149;CHRONOS
2017-06-01;2017-06-30;140;196;CHRONOS
2017-07-01;2017-07-31;112;165;CHRONOS
2017-08-01;2017-08-31;109;248;CHRONOS
2017-09-01;2017-09-30;95;154;CHRONOS
2017-10-01;2017-10-31;89;160;CHRONOS
2017-11-01;2017-11-30;85;154;CHRONOS
2017-12-01;2017-12-31;63;93;CHRONOS
2018-01-01;2018-01-31;81;119;CHRONOS
2018-02-01;2018-02-28;77;93;CHRONOS
2018-03-01;2018-03-31;81;96;CHRONOS
2018-04-01;2018-04-30;130;195;CHRONOS
2018-05-01;2018-05-31;92;128;CHRONOS
2018-06-01;2018-06-30;110;163;CHRONOS
2018-07-01;2018-07-31;87;120;CHRONOS
2018-08-01;2018-08-31;75;122;CHRONOS
2018-09-01;2018-09-30;82;138;CHRONOS
2018-10-01;2018-10-31;73;136;CHRONOS
2018-11-01;2018-11-30;88;170;CHRONOS
2018-12-01;2018-12-31;66;130;CHRONOS
2019-01-01;2019-01-31;94;174;CHRONOS
2019-02-01;2019-02-28;69;119;CHRONOS
2019-03-01;2019-03-31;89;138;CHRONOS
2019-04-01;2019-04-30;227;300;CHRONOS
2019-05-01;2019-05-31;113;207;CHRONOS
2019-06-01;2019-06-30;75;120;CHRONOS
2019-07-01;2019-07-31;96;164;CHRONOS
2019-08-01;2019-08-31;43;75;CHRONOS
2019-09-01;2019-09-30;34;74;CHRONOS
2019-10-01;2019-10-31;39;75;CHRONOS
2019-11-01;2019-11-30;47;126;CHRONOS
2019-12-01;2019-12-31;35;117;CHRONOS
2020-01-01;2020-01-31;50;106;CHRONOS
2020-02-01;2020-02-29;45;110;CHRONOS
2020-03-01;2020-03-31;50;140;CHRONOS
2020-04-01;2020-04-30;59;119;CHRONOS
2020-05-01;2020-05-31;61;132;CHRONOS
2020-06-01;2020-06-30;60;174;CHRONOS
2020-07-01;2020-07-31;50;113;CHRONOS
2020-08-01;2020-08-31;59;132;CHRONOS
2020-09-01;2020-09-30;51;242;CHRONOS
2020-10-01;2020-10-31;69;139;CHRONOS
2020-11-01;2020-11-30;44;112;CHRONOS
2020-12-01;2020-12-31;39;85;CHRONOS
2021-01-01;2021-01-31;48;111;CHRONOS
2021-02-01;2021-02-28;52;133;CHRONOS
2021-03-01;2021-03-31;80;142;CHRONOS
2021-04-01;2021-04-30;73;145;CHRONOS
2021-05-01;2021-05-31;73;131;CHRONOS
2021-06-01;2021-06-30;52;93;CHRONOS
2021-07-01;2021-07-31;56;99;CHRONOS
2021-08-01;2021-08-31;46;90;CHRONOS
2021-09-01;2021-09-30;79;137;CHRONOS
2021-10-01;2021-10-31;75;125;CHRONOS
2021-11-01;2021-11-30;51;86;CHRONOS
2021-12-01;2021-12-31;60;101;CHRONOS
2022-01-01;2022-01-31;49;83;CHRONOS
2022-02-01;2022-02-28;34;65;CHRONOS
2022-03-01;2022-03-31;65;110;CHRONOS
2022-04-01;2022-04-30;49;71;CHRONOS
2022-05-01;2022-05-31;62;78;CHRONOS
2022-06-01;2022-06-30;46;62;CHRONOS
2022-07-01;2022-07-31;61;98;CHRONOS
2022-08-01;2022-08-31;26;37;CHRONOS
2022-09-01;2022-09-30;52;102;CHRONOS
2022-10-01;2022-10-31;40;61;CHRONOS
2022-11-01;2022-11-30;58;86;CHRONOS
2022-12-01;2022-12-31;59;76;CHRONOS
2023-01-01;2023-01-31;37;54;CHRONOS
2023-02-01;2023-02-28;35;72;CHRONOS
2023-03-01;2023-03-31;33;44;CHRONOS
2023-04-01;2023-04-30;38;62;CHRONOS
2023-05-01;2023-05-31;72;98;CHRONOS
2023-06-01;2023-06-30;37;55;CHRONOS
2023-07-01;2023-07-31;44;62;CHRONOS
2023-08-01;2023-08-31;56;101;CHRONOS
2023-09-01;2023-09-30;25;39;CHRONOS
2023-10-01;2023-10-31;36;106;CHRONOS
2023-11-01;2023-11-30;42;85;CHRONOS
2023-12-01;2023-12-31;32;87;CHRONOS
2024-01-01;2024-01-31;52;197;CHRONOS
2024-02-01;2024-02-29;47;60;CHRONOS
2024-03-01;2024-03-31;96;156;CHRONOS
2024-04-01;2024-04-30;119;412;CHRONOS
2024-05-01;2024-05-31;91;404;CHRONOS
2024-06-01;2024-06-26;45;564;CHRONOS
2019-09-01;2019-09-30;1;1;debCAM
2019-10-01;2019-10-31;5;12;debCAM
2019-11-01;2019-11-30;17;58;debCAM
2019-12-01;2019-12-31;26;80;debCAM
2020-01-01;2020-01-31;30;90;debCAM
2020-02-01;2020-02-29;26;87;debCAM
2020-03-01;2020-03-31;48;137;debCAM
2020-04-01;2020-04-30;51;137;debCAM
2020-05-01;2020-05-31;53;132;debCAM
2020-06-01;2020-06-30;52;159;debCAM
2020-07-01;2020-07-31;47;121;debCAM
2020-08-01;2020-08-31;48;129;debCAM
2020-09-01;2020-09-30;34;122;debCAM
2020-10-01;2020-10-31;55;122;debCAM
2020-11-01;2020-11-30;45;117;debCAM
2020-12-01;2020-12-31;31;85;debCAM
2021-01-01;2021-01-31;41;114;debCAM
2021-02-01;2021-02-28;50;121;debCAM
2021-03-01;2021-03-31;68;137;debCAM
2021-04-01;2021-04-30;42;122;debCAM
2021-05-01;2021-05-31;57;121;debCAM
2021-06-01;2021-06-30;47;90;debCAM
2021-07-01;2021-07-31;48;94;debCAM
2021-08-01;2021-08-31;53;89;debCAM
2021-09-01;2021-09-30;57;124;debCAM
2021-10-01;2021-10-31;68;119;debCAM
2021-11-01;2021-11-30;52;83;debCAM
2021-12-01;2021-12-31;62;103;debCAM
2022-01-01;2022-01-31;51;99;debCAM
2022-02-01;2022-02-28;37;73;debCAM
2022-03-01;2022-03-31;69;108;debCAM
2022-04-01;2022-04-30;42;66;debCAM
2022-05-01;2022-05-31;54;78;debCAM
2022-06-01;2022-06-30;52;99;debCAM
2022-07-01;2022-07-31;67;129;debCAM
2022-08-01;2022-08-31;24;46;debCAM
2022-09-01;2022-09-30;47;89;debCAM
2022-10-01;2022-10-31;50;87;debCAM
2022-11-01;2022-11-30;69;112;debCAM
2022-12-01;2022-12-31;41;61;debCAM
2023-01-01;2023-01-31;39;68;debCAM
2023-02-01;2023-02-28;30;77;debCAM
2023-03-01;2023-03-31;34;50;debCAM
2023-04-01;2023-04-30;52;95;debCAM
2023-05-01;2023-05-31;78;119;debCAM
2023-06-01;2023-06-30;53;111;debCAM
2023-07-01;2023-07-31;46;73;debCAM
2023-08-01;2023-08-31;68;133;debCAM
2023-09-01;2023-09-30;46;63;debCAM
2023-10-01;2023-10-31;49;101;debCAM
2023-11-01;2023-11-30;61;124;debCAM
2023-12-01;2023-12-31;45;134;debCAM
2024-01-01;2024-01-31;50;177;debCAM
2024-02-01;2024-02-29;59;249;debCAM
2024-03-01;2024-03-31;81;184;debCAM
2024-04-01;2024-04-30;83;422;debCAM
2024-05-01;2024-05-31;98;476;debCAM
2024-06-01;2024-06-26;58;669;debCAM
2017-10-01;2017-10-31;2;2;esATAC
2017-11-01;2017-11-30;51;113;esATAC
2017-12-01;2017-12-31;70;126;esATAC
2018-01-01;2018-01-31;107;194;esATAC
2018-02-01;2018-02-28;98;185;esATAC
2018-03-01;2018-03-31;144;257;esATAC
2018-04-01;2018-04-30;221;538;esATAC
2018-05-01;2018-05-31;268;919;esATAC
2018-06-01;2018-06-30;243;579;esATAC
2018-07-01;2018-07-31;172;352;esATAC
2018-08-01;2018-08-31;178;449;esATAC
2018-09-01;2018-09-30;198;493;esATAC
2018-10-01;2018-10-31;232;505;esATAC
2018-11-01;2018-11-30;245;541;esATAC
2018-12-01;2018-12-31;171;384;esATAC
2019-01-01;2019-01-31;259;541;esATAC
2019-02-01;2019-02-28;210;442;esATAC
2019-03-01;2019-03-31;338;543;esATAC
2019-04-01;2019-04-30;342;504;esATAC
2019-05-01;2019-05-31;237;510;esATAC
2019-06-01;2019-06-30;190;396;esATAC
2019-07-01;2019-07-31;181;400;esATAC
2019-08-01;2019-08-31;108;220;esATAC
2019-09-01;2019-09-30;107;200;esATAC
2019-10-01;2019-10-31;110;183;esATAC
2019-11-01;2019-11-30;133;284;esATAC
2019-12-01;2019-12-31;109;248;esATAC
2020-01-01;2020-01-31;125;265;esATAC
2020-02-01;2020-02-29;106;243;esATAC
2020-03-01;2020-03-31;124;302;esATAC
2020-04-01;2020-04-30;124;280;esATAC
2020-05-01;2020-05-31;117;273;esATAC
2020-06-01;2020-06-30;115;265;esATAC
2020-07-01;2020-07-31;110;282;esATAC
2020-08-01;2020-08-31;102;228;esATAC
2020-09-01;2020-09-30;97;281;esATAC
2020-10-01;2020-10-31;97;204;esATAC
2020-11-01;2020-11-30;106;243;esATAC
2020-12-01;2020-12-31;86;252;esATAC
2021-01-01;2021-01-31;88;175;esATAC
2021-02-01;2021-02-28;83;183;esATAC
2021-03-01;2021-03-31;106;226;esATAC
2021-04-01;2021-04-30;117;212;esATAC
2021-05-01;2021-05-31;132;265;esATAC
2021-06-01;2021-06-30;94;172;esATAC
2021-07-01;2021-07-31;86;156;esATAC
2021-08-01;2021-08-31;90;160;esATAC
2021-09-01;2021-09-30;99;204;esATAC
2021-10-01;2021-10-31;113;202;esATAC
2021-11-01;2021-11-30;96;181;esATAC
2021-12-01;2021-12-31;86;130;esATAC
2022-01-01;2022-01-31;75;146;esATAC
2022-02-01;2022-02-28;73;156;esATAC
2022-03-01;2022-03-31;133;244;esATAC
2022-04-01;2022-04-30;101;181;esATAC
2022-05-01;2022-05-31;78;131;esATAC
2022-06-01;2022-06-30;71;154;esATAC
2022-07-01;2022-07-31;76;137;esATAC
2022-08-01;2022-08-31;56;94;esATAC
2022-09-01;2022-09-30;68;109;esATAC
2022-10-01;2022-10-31;79;160;esATAC
2022-11-01;2022-11-30;72;116;esATAC
2022-12-01;2022-12-31;68;103;esATAC
2023-01-01;2023-01-31;44;69;esATAC
2023-02-01;2023-02-28;94;170;esATAC
2023-03-01;2023-03-31;79;139;esATAC
2023-04-01;2023-04-30;76;127;esATAC
2023-05-01;2023-05-31;156;212;esATAC
2023-06-01;2023-06-30;63;98;esATAC
2023-07-01;2023-07-31;69;107;esATAC
2023-08-01;2023-08-31;78;159;esATAC
2023-09-01;2023-09-30;54;98;esATAC
2023-10-01;2023-10-31;63;148;esATAC
2023-11-01;2023-11-30;81;165;esATAC
2023-12-01;2023-12-31;55;130;esATAC
2024-01-01;2024-01-31;63;202;esATAC
2024-02-01;2024-02-29;62;93;esATAC
2024-03-01;2024-03-31;173;270;esATAC
2024-04-01;2024-04-30;209;508;esATAC
2024-05-01;2024-05-31;122;480;esATAC
2024-06-01;2024-06-26;71;611;esATAC
2022-04-01;2022-04-30;22;25;fastreeR
2022-05-01;2022-05-31;51;69;fastreeR
2022-06-01;2022-06-30;34;44;fastreeR
2022-07-01;2022-07-31;42;86;fastreeR
2022-08-01;2022-08-31;18;23;fastreeR
